Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Atlanta Braves21.8,MIA9.1,MIA7.7,NYY4.5,ATL19.8,ARI2.0,ATL5.2,TEX5.1,ATL3.7,TEX4.8,SDP2.8,SEA3.2,ATL5.9,ATL6.6,LAA3.6,TBR0.6
2,Tampa Bay Rays19.1,PHI7.8,MIN6.4,CIN3.7,TBR15.4,STL1.7,LAD4.2,CLE3.0,PIT2.9,TBR4.0,ARI1.8,PHI3.1,LAD3.8,HOU6.2,HOU1.9,TOR0.5
3,Texas Rangers14.1,MIN7.0,TEX5.2,PHI2.7,TEX14.6,PHI1.5,TBR3.5,ATL2.8,HOU2.6,NYM3.6,TBR1.6,TOR3.1,HOU3.5,SDP5.8,ATL1.5,MIN0.4
4,Houston Astros12.6,NYY6.4,PHI5.1,MIL1.7,LAD12.0,ATL1.5,ARI1.3,ARI2.7,TOR2.5,SEA3.4,MIL1.4,CHW2.4,SDP2.9,LAD4.5,TBR1.4,PHI0.1
5,Minnesota Twins12.4,MIL4.8,SDP4.5,MIA1.5,HOU11.9,SEA1.4,SFG1.0,CHC2.6,BAL2.3,CHC3.2,HOU1.3,CHC2.0,TEX1.6,TBR3.6,BAL1.1,BAL0.1
6,Philadelphia Phillies11.9,SEA4.0,NYM3.9,HOU1.4,TOR10.8,MIL1.3,NYM0.8,MIA2.6,TBR2.1,SDP2.6,CLE1.2,LAA1.9,TBR1.5,CHC3.6,TOR1.0,HOU-0.1
7,Toronto Blue Jays11.9,BOS3.8,SEA3.4,TBR0.8,SDP9.6,BAL1.3,STL0.6,SDP2.0,CLE1.9,TOR2.2,CHC0.8,NYM1.6,MIN1.2,TOR3.5,PHI0.8,SEA-0.1
8,San Diego Padres11.6,TBR3.7,MIL3.1,BAL0.7,BAL8.0,TOR1.0,BAL0.4,HOU1.8,SDP1.6,KCR2.0,TOR0.7,ATL1.6,WSN1.1,SEA3.2,MIN0.6,LAD-0.1
9,Los Angeles Dodgers11.4,SFG2.7,BOS3.0,BOS0.7,MIN5.4,TEX0.8,BOS0.3,PHI1.7,MIN1.3,HOU1.8,NYM0.3,HOU1.4,BOS0.8,ARI2.8,LAD0.5,WSN-0.1
10,Baltimore Orioles10.5,BAL2.5,TBR2.9,SEA0.7,SEA5.0,SDP0.7,TEX0.3,LAD1.5,BOS1.2,BAL1.5,CIN0.2,LAD1.1,CHC0.8,TEX2.8,TEX0.4,BOS-0.2
11,Seattle Mariners9.0,SDP2.0,SFG2.7,MIN0.6,ARI4.6,LAD0.6,PIT0.1,MIN1.5,WSN1.0,WSN1.3,TEX0.2,BAL1.0,ARI0.3,MIN2.0,BOS-0.1,TEX-0.2
12,Chicago Cubs4.4,ATL2.0,CLE2.1,LAD0.5,CHC4.4,MIN0.5,TOR0.0,TBR0.9,TEX0.6,PHI1.2,MIN0.2,TEX1.0,DET0.1,PHI1.6,STL-0.3,ATL-0.4
13,Milwaukee Brewers3.9,NYM1.4,NYY1.9,TOR0.4,PHI4.1,WSN0.1,CLE-0.4,CIN0.7,LAD0.4,NYY1.0,BAL0.1,DET0.8,SEA0.0,BOS1.3,PIT-0.5,MIA-0.5
14,Boston Red Sox2.8,CIN1.2,BAL1.8,ATL0.3,MIL-0.9,BOS-0.2,MIN-0.6,BAL0.4,COL0.4,MIL1.0,BOS0.0,ARI0.7,BAL-0.2,MIL1.1,SFG-0.6,KCR-0.6
15,Arizona Diamondbacks1.1,TOR1.1,CHW1.8,SFG0.2,BOS-1.0,HOU-0.2,OAK-0.8,STL0.3,SEA0.2,LAD0.4,SEA0.0,MIN0.6,OAK-0.3,BAL0.9,MIA-0.7,SDP-0.6
Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
16,Miami Marlins0.3,DET0.8,ATL1.7,CHC0.2,STL-1.5,KCR-0.4,WSN-1.1,NYY0.3,STL-0.1,CIN0.3,PIT-0.1,STL0.6,TOR-0.3,LAA-0.1,SEA-0.8,CHC-0.6
17,New York Mets-2.5,HOU0.7,DET0.9,DET-0.1,WSN-2.1,CIN-0.5,CIN-1.3,TOR0.1,CHC-0.5,COL0.2,LAA-0.1,CIN0.6,MIA-0.5,NYM-0.1,CLE-1.0,CLE-0.7
18,Cincinnati Reds-2.6,CLE0.0,LAA0.6,PIT-1.0,CLE-2.7,TBR-0.7,PHI-1.3,OAK-0.1,CIN-0.6,LAA-0.1,LAD-0.4,BOS0.5,MIL-0.6,DET-0.2,NYY-1.0,STL-0.8
19,Cleveland Guardians-2.7,CHC0.0,TOR0.6,CLE-2.1,CIN-3.8,CHC-0.8,MIL-1.5,MIL-0.2,CHW-0.7,MIN-0.3,ATL-0.9,TBR0.5,PHI-0.6,CIN-0.3,MIL-1.0,MIL-0.8
20,New York Yankees-4.4,TEX-0.5,CHC-0.1,NYM-2.4,NYM-3.9,LAA-1.0,DET-1.5,LAA-0.3,KCR-0.7,ARI-0.4,PHI-0.9,MIL0.3,SFG-0.7,WSN-0.9,SDP-1.0,ARI-0.8
21,Los Angeles Angels-7.0,LAD-0.6,HOU-0.7,ARI-2.4,LAA-4.1,OAK-1.0,NYY-1.5,SFG-0.6,MIL-0.8,MIA-0.6,STL-1.1,KCR0.3,CIN-1.1,CLE-1.2,ARI-1.1,CIN-0.9
22,San Francisco Giants-7.9,CHW-2.2,ARI-1.0,SDP-2.6,KCR-7.9,COL-1.3,SEA-1.5,NYM-0.8,SFG-1.3,ATL-1.1,WSN-1.1,SDP0.1,NYY-1.2,STL-1.7,CIN-1.2,NYM-1.0
23,St. Louis Cardinals-8.3,PIT-2.9,LAD-1.1,STL-3.0,MIA-8.8,DET-1.4,SDP-1.5,SEA-0.8,PHI-1.5,STL-1.2,COL-1.1,NYY-0.3,STL-1.2,KCR-2.9,KCR-1.3,SFG-1.0
24,Washington Nationals-8.5,LAA-2.9,PIT-2.0,WSN-3.8,PIT-9.2,SFG-1.6,CHW-1.6,WSN-1.0,ARI-1.9,BOS-1.4,DET-1.1,PIT-0.4,KCR-1.2,PIT-3.3,CHC-1.3,COL-1.1
25,Detroit Tigers-10.6,ARI-3.5,CIN-2.5,CHW-4.0,SFG-10.6,NYM-1.6,MIA-1.8,DET-1.0,NYY-1.9,DET-1.5,SFG-1.6,CLE-0.6,COL-1.3,SFG-3.3,WSN-1.4,PIT-1.1
26,Pittsburgh Pirates-12.1,WSN-6.4,WSN-2.5,LAA-4.1,NYY-10.8,NYY-1.7,CHC-1.8,KCR-1.3,DET-2.1,OAK-1.9,KCR-2.0,MIA-0.8,CLE-1.8,MIA-3.4,OAK-1.4,NYY-1.1
